forecast_file,category,best_distribution,parameters,aic,bic
ft1.csv,No Observed Precip,norm,"(-0.0605321295143213, 0.22583647218328673)",-106.82296601168986,-97.44625658379633
ft1.csv,Very low_0 < rainfall < 1,norm,"(-0.27221375280898874, 0.6488000655921925)",881.8139937280824,890.0101422924149
ft1.csv,Low_1 <= rainfall < 5,norm,"(0.7648157894736841, 1.496951941509576)",419.5002539633171,424.9726508601061
ft1.csv,Moderate_5 <= rainfall < 10,uniform,"(2.9639999999999995, 5.636000000000002)",80.0836821376031,82.26576704431974
ft1.csv,High_rainfall => 10,uniform,"(10.256, 11.264)",62.11868318597647,63.088496485552476
ft2.csv,No Observed Precip,norm,"(-0.1184639718804921, 0.44581767753398793)",699.4242071461,708.1119680143527
ft2.csv,Very low_0 < rainfall < 1,norm,"(-0.17194024813895784, 0.5577751373644877)",677.1221595362726,685.120032660166
ft2.csv,Low_1 <= rainfall < 5,norm,"(0.7419406779661017, 1.6801395689219298)",461.32443437838316,466.8658036273145
ft2.csv,Moderate_5 <= rainfall < 10,norm,"(5.1825833333333335, 2.2232566937690503)",110.45975839846378,112.81586605915967
ft2.csv,High_rainfall => 10,uniform,"(2.46, 19.11)",74.80508219805236,75.77489549762836
ft3.csv,No Observed Precip,norm,"(-0.13915178571428571, 0.4172763526068344)",675.3561902500263,684.2026841770934
ft3.csv,Very low_0 < rainfall < 1,norm,"(-0.15010874999999999, 0.5833336209138279)",707.9540203735983,715.9369494678142
ft3.csv,Low_1 <= rainfall < 5,norm,"(1.0301711711711712, 1.4335024949866193)",398.95116016674945,404.3702205693741
ft3.csv,Moderate_5 <= rainfall < 10,uniform,"(-1.21, 9.19)",114.90579681837977,117.34354846811617
ft3.csv,High_rainfall => 10,uniform,"(4.703999999999999, 16.67)",54.64499254172865,55.039441696401084
ft4.csv,No Observed Precip,norm,"(-0.1714001464128843, 0.512135675611687)",1028.1896934119682,1037.2426831311097
ft4.csv,Very low_0 < rainfall < 1,norm,"(-0.19136732984293192, 0.6865581790600354)",800.7559065216775,808.6467477388907
ft4.csv,Low_1 <= rainfall < 5,norm,"(1.0773846153846154, 1.3045587620377501)",354.43910791241626,359.727889710699
ft4.csv,Moderate_5 <= rainfall < 10,uniform,"(-1.4560000000000004, 9.942)",105.05780113758912,107.23988604430576
ft4.csv,High_rainfall => 10,uniform,"(-1.0380000000000003, 22.586)",78.8159258872355,79.7857391868115
ft5.csv,No Observed Precip,norm,"(-0.21657729138166892, 0.5650415264608625)",1243.8965869719068,1253.0854138914065
ft5.csv,Very low_0 < rainfall < 1,norm,"(-0.1819795744680851, 0.63636625779929)",640.2580539846258,647.8501694861566
ft5.csv,Low_1 <= rainfall < 5,norm,"(1.0463999999999998, 1.2750904562339676)",319.77157451922955,324.8793283024306
ft5.csv,Moderate_5 <= rainfall < 10,uniform,"(4.812, 4.142)",58.004792992988925,59.89367095132181
ft5.csv,High_rainfall => 10,norm,"(12.47275, 5.211913102450961)",77.67725247367291,78.64706577324891
ft6.csv,No Observed Precip,norm,"(-0.24978595800524928, 0.6349891338063717)",1474.3416986597636,1483.613591771137
ft6.csv,Very low_0 < rainfall < 1,norm,"(-0.09632051118210863, 0.5175054396513609)",479.88725998471745,487.37966636579773
ft6.csv,Low_1 <= rainfall < 5,norm,"(1.16225, 1.2913953072835263)",312.1377713080583,317.1813484621564
ft6.csv,Moderate_5 <= rainfall < 10,norm,"(5.785625, 1.6456798699549675)",65.34694805902996,66.8921255035095
ft6.csv,High_rainfall => 10,uniform,"(9.522, 11.984)",58.638593389046996,59.43438393464373
ft7.csv,No Observed Precip,norm,"(-0.29192774427020507, 0.709496538874835)",1787.5750506898298,1797.0154910001004
ft7.csv,Very low_0 < rainfall < 1,norm,"(-0.1494766777408638, 0.650314840732295)",599.1612018604844,606.5754223899821
